repo,url,name
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,castle.core
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,closedxml.signed
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,confluent.kafka
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,corewcf.http
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,corewcf.primitives
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,coverlet.collector
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,dapper
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,deepcloner
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,documentformat.openxml
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,dotnet-ef
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,dotnetenv
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,excelnumberformat
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,fare
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,fastmember.signed
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,fody
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,google.protobuf
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,greendonut
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,grpc.core.api
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,grpc.net.client
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,grpc.net.common
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.abstractions
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.aspnetcore
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.aspnetcore.abstractions
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.aspnetcore.authorization
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.aspnetcore.voyager
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.data
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.execution
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.fetching
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.language
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.language.syntaxtree
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.language.utf8
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.language.visitors
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.server
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.subscriptions
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.subscriptions.inmemory
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.types
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.types.cursorpagination
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.types.mutations
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.types.offsetpagination
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.types.scalars.upload
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.utilities
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.utilities.introspection
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,hotchocolate.validation
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,htmlagilitypack
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,htmlsanitizer
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.af
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.ar
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.az
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.bg
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.bn-bd
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.cs
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.da
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.de
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.el
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.es
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.fa
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.fi-fi
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.fr
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.fr-be
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.he
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.hr
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.hu
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.hy
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.id
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.is
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.it
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.ja
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.ko-kr
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.ku
nuget.org-proxy,https://nexus.mgts.ru/repository/nuget.org-proxy/,humanizer.core.lv
