project,repository,pull_path
dockerhub,dockerhub/gitlab/gitlab-runner-helper,harbor.mgts.ru/dockerhub/gitlab/gitlab-runner-helper
dockerhub,dockerhub/flannel/flannel-cni-plugin,harbor.mgts.ru/dockerhub/flannel/flannel-cni-plugin
dockerhub,dockerhub/flannel/flannel,harbor.mgts.ru/dockerhub/flannel/flannel
dockerhub,dockerhub/kubesphere/coredns,harbor.mgts.ru/dockerhub/kubesphere/coredns
dockerhub,dockerhub/kubesphere/kube-scheduler,harbor.mgts.ru/dockerhub/kubesphere/kube-scheduler
dockerhub,dockerhub/kubesphere/etcd,harbor.mgts.ru/dockerhub/kubesphere/etcd
dockerhub,dockerhub/kubesphere/pause,harbor.mgts.ru/dockerhub/kubesphere/pause
dockerhub,dockerhub/kubesphere/kube-proxy,harbor.mgts.ru/dockerhub/kubesphere/kube-proxy
dockerhub,dockerhub/kubesphere/kube-apiserver,harbor.mgts.ru/dockerhub/kubesphere/kube-apiserver
dockerhub,dockerhub/onlyoffice/documentserver,harbor.mgts.ru/dockerhub/onlyoffice/documentserver
dockerhub,dockerhub/library/traefik,harbor.mgts.ru/dockerhub/library/traefik
dockerhub,dockerhub/keycloak/keycloak,harbor.mgts.ru/dockerhub/keycloak/keycloak
dockerhub,dockerhub/refinedev/node,harbor.mgts.ru/dockerhub/refinedev/node
dockerhub,dockerhub/outlinewiki/outline,harbor.mgts.ru/dockerhub/outlinewiki/outline
dockerhub,dockerhub/library/memcached,harbor.mgts.ru/dockerhub/library/memcached
dockerhub,dockerhub/library/rabbitmq,harbor.mgts.ru/dockerhub/library/rabbitmq
dockerhub,dockerhub/grafana/grafana-oss,harbor.mgts.ru/dockerhub/grafana/grafana-oss
dockerhub,dockerhub/spoonest/clickhouse-tabix-web-client,harbor.mgts.ru/dockerhub/spoonest/clickhouse-tabix-web-client
dockerhub,dockerhub/spcodes/cadvisor,harbor.mgts.ru/dockerhub/spcodes/cadvisor
dockerhub,dockerhub/google/cadvisor,harbor.mgts.ru/dockerhub/google/cadvisor
dockerhub,dockerhub/grafana/promtail,harbor.mgts.ru/dockerhub/grafana/promtail
dockerhub,dockerhub/grafana/loki,harbor.mgts.ru/dockerhub/grafana/loki
dockerhub,dockerhub/prom/alertmanager,harbor.mgts.ru/dockerhub/prom/alertmanager
dockerhub,dockerhub/library/debian,harbor.mgts.ru/dockerhub/library/debian
dockerhub,dockerhub/library/ubuntu,harbor.mgts.ru/dockerhub/library/ubuntu
dockerhub,dockerhub/grafana/grafana,harbor.mgts.ru/dockerhub/grafana/grafana
dockerhub,dockerhub/infiniflow/ragflow,harbor.mgts.ru/dockerhub/infiniflow/ragflow
dockerhub,dockerhub/library/adminer,harbor.mgts.ru/dockerhub/library/adminer
dockerhub,dockerhub/percona/percona-server,harbor.mgts.ru/dockerhub/percona/percona-server
dockerhub,dockerhub/phpdockerio/php,harbor.mgts.ru/dockerhub/phpdockerio/php
dockerhub,dockerhub/library/node,harbor.mgts.ru/dockerhub/library/node
dockerhub,dockerhub/hashicorp/vault,harbor.mgts.ru/dockerhub/hashicorp/vault
dockerhub,dockerhub/clickhouse/clickhouse-server,harbor.mgts.ru/dockerhub/clickhouse/clickhouse-server
dockerhub,dockerhub/library/nginx,harbor.mgts.ru/dockerhub/library/nginx
dockerhub,dockerhub/victoriametrics/vmagent,harbor.mgts.ru/dockerhub/victoriametrics/vmagent
dockerhub,dockerhub/redhat/ubi8,harbor.mgts.ru/dockerhub/redhat/ubi8
dockerhub,dockerhub/library/alpine,harbor.mgts.ru/dockerhub/library/alpine
dockerhub,dockerhub/redhat/ubi9-minimal,harbor.mgts.ru/dockerhub/redhat/ubi9-minimal
dockerhub,dockerhub/library/postgres,harbor.mgts.ru/dockerhub/library/postgres
dockerhub,dockerhub/weaveworks/weaveexec,harbor.mgts.ru/dockerhub/weaveworks/weaveexec
dockerhub,dockerhub/prom/prometheus,harbor.mgts.ru/dockerhub/prom/prometheus
dockerhub,dockerhub/victoriametrics/victoria-metrics,harbor.mgts.ru/dockerhub/victoriametrics/victoria-metrics
fixmsk_devops,fixmsk_devops/redos8c/ubi-minimal,harbor.mgts.ru/fixmsk_devops/redos8c/ubi-minimal
fixmsk_devops,fixmsk_devops/spcpdesynchronizer_front,harbor.mgts.ru/fixmsk_devops/spcpdesynchronizer_front
fixmsk_devops,fixmsk_devops/spcpdesynchronizer_api,harbor.mgts.ru/fixmsk_devops/spcpdesynchronizer_api
fixmsk_devops,fixmsk_devops/mgts-documents,harbor.mgts.ru/fixmsk_devops/mgts-documents
fixmsk_devops,fixmsk_devops/asrz-api-cs,harbor.mgts.ru/fixmsk_devops/asrz-api-cs
fixmsk_devops,fixmsk_devops/kaniko,harbor.mgts.ru/fixmsk_devops/kaniko
fixmsk_devops,fixmsk_devops/dotnet-aspnet,harbor.mgts.ru/fixmsk_devops/dotnet-aspnet
fixmsk_devops,fixmsk_devops/metadata-ingestion,harbor.mgts.ru/fixmsk_devops/metadata-ingestion
fixmsk_devops,fixmsk_devops/docker_asrz2_fpm_2,harbor.mgts.ru/fixmsk_devops/docker_asrz2_fpm_2
fixmsk_devops,fixmsk_devops/angie-laravel,harbor.mgts.ru/fixmsk_devops/angie-laravel
fixmsk_devops,fixmsk_devops/semaphore,harbor.mgts.ru/fixmsk_devops/semaphore
fixmsk_devops,fixmsk_devops/dotnet-sdk,harbor.mgts.ru/fixmsk_devops/dotnet-sdk
ghcr,ghcr/astral-sh/uv,harbor.mgts.ru/ghcr/astral-sh/uv
ghcr,ghcr/ghcr.io/projectnessie/nessie,harbor.mgts.ru/ghcr/ghcr.io/projectnessie/nessie
ghcr,ghcr/projectnessie/nessie,harbor.mgts.ru/ghcr/projectnessie/nessie
ghcr,ghcr/gethomepage/homepage,harbor.mgts.ru/ghcr/gethomepage/homepage
ghcr,ghcr/plausible/community-edition,harbor.mgts.ru/ghcr/plausible/community-edition
ghcr,ghcr/ggerganov/llama.cpp,harbor.mgts.ru/ghcr/ggerganov/llama.cpp
infra,infra/curri,harbor.mgts.ru/infra/curri
it,it/rnd/ai/pywright-mcp,harbor.mgts.ru/it/rnd/ai/pywright-mcp
it,it/rnd/llm-eval/redis,harbor.mgts.ru/it/rnd/llm-eval/redis
it,it/rnd/llm-eval/api,harbor.mgts.ru/it/rnd/llm-eval/api
it,it/rnd/llm-eval/frontend,harbor.mgts.ru/it/rnd/llm-eval/frontend
it,it/rnd/llm-eval/llm-eval-frontend,harbor.mgts.ru/it/rnd/llm-eval/llm-eval-frontend
it,it/rnd/llm-eval/llm-eval-api,harbor.mgts.ru/it/rnd/llm-eval/llm-eval-api
it,it/rnd/ai/playwright/python,harbor.mgts.ru/it/rnd/ai/playwright/python
it,it/rnd/ai/chatgpt-lite-ui/chatgpt-lite-logic,harbor.mgts.ru/it/rnd/ai/chatgpt-lite-ui/chatgpt-lite-logic
it,it/rnd/ai/chatgpt-lite-ui/chatgpt-lite-nginx,harbor.mgts.ru/it/rnd/ai/chatgpt-lite-ui/chatgpt-lite-nginx
it,it/rnd/ch-ui,harbor.mgts.ru/it/rnd/ch-ui
it,it/rnd/ai/ocr/ocr,harbor.mgts.ru/it/rnd/ai/ocr/ocr
it,it/rnd/infra/cam-loadtest/web,harbor.mgts.ru/it/rnd/infra/cam-loadtest/web
it,it/rnd/helloworld-http,harbor.mgts.ru/it/rnd/helloworld-http
it,it/lkb2o,harbor.mgts.ru/it/lkb2o
it,it/lkb2o/test/backend,harbor.mgts.ru/it/lkb2o/test/backend
it,it/rnd/gpu_burn,harbor.mgts.ru/it/rnd/gpu_burn
it,it/lkb2o/test/frontend,harbor.mgts.ru/it/lkb2o/test/frontend
it,it/rnd/ai/librechat/nginx,harbor.mgts.ru/it/rnd/ai/librechat/nginx
it,it/rnd/ai/librechat/rag_api,harbor.mgts.ru/it/rnd/ai/librechat/rag_api
it,it/rnd/ai/librechat/vectordb,harbor.mgts.ru/it/rnd/ai/librechat/vectordb
it,it/rnd/ai/librechat/meilisearch,harbor.mgts.ru/it/rnd/ai/librechat/meilisearch
it,it/rnd/ai/librechat/mongodb,harbor.mgts.ru/it/rnd/ai/librechat/mongodb
it,it/rnd/ai/librechat/api,harbor.mgts.ru/it/rnd/ai/librechat/api
it,it/lkb2o/tabix,harbor.mgts.ru/it/lkb2o/tabix
it,it/rnd/ai/monitoring/health-exporter,harbor.mgts.ru/it/rnd/ai/monitoring/health-exporter
it,it/rnd/ai/monitoring/plausible_exporter_fixed_tls,harbor.mgts.ru/it/rnd/ai/monitoring/plausible_exporter_fixed_tls
it,it/rnd/ai/monitoring/plausible_exporter,harbor.mgts.ru/it/rnd/ai/monitoring/plausible_exporter
it,it/rnd/ai/rag/elasticsearch,harbor.mgts.ru/it/rnd/ai/rag/elasticsearch
it,it/ci-cd/buildah/stable,harbor.mgts.ru/it/ci-cd/buildah/stable
it,it/rnd/ai/llm-gate/nginx,harbor.mgts.ru/it/rnd/ai/llm-gate/nginx
it,it/rnd/ai/llm-gate/prometheus,harbor.mgts.ru/it/rnd/ai/llm-gate/prometheus
it,it/rnd/ai/llm-gate/postgres,harbor.mgts.ru/it/rnd/ai/llm-gate/postgres
it,it/rnd/ai/llm-gate/litellm,harbor.mgts.ru/it/rnd/ai/llm-gate/litellm
it,it/ci-cd/gitlab-runner-helper,harbor.mgts.ru/it/ci-cd/gitlab-runner-helper
it,it/rnd/bsa/outlook-copilot/nginx,harbor.mgts.ru/it/rnd/bsa/outlook-copilot/nginx
it,it/rnd/bsa/outlook-copilot/backend,harbor.mgts.ru/it/rnd/bsa/outlook-copilot/backend
it,it/rnd/ai/rag/minio,harbor.mgts.ru/it/rnd/ai/rag/minio
it,it/rnd/ai/rag/valkey,harbor.mgts.ru/it/rnd/ai/rag/valkey
it,it/rnd/ai/rag/mysql,harbor.mgts.ru/it/rnd/ai/rag/mysql
it,it/rnd/ai/rag/infinity,harbor.mgts.ru/it/rnd/ai/rag/infinity
it,it/rnd/ai/rag/ragflow,harbor.mgts.ru/it/rnd/ai/rag/ragflow
it,it/superapp/backoffice/frontend,harbor.mgts.ru/it/superapp/backoffice/frontend
it,it/superapp/backoffice/backend,harbor.mgts.ru/it/superapp/backoffice/backend
it,it/lkb2o/sms-service,harbor.mgts.ru/it/lkb2o/sms-service
it,it/rnd/prototypes/ai-doc-fstec/ai-doc-fstec,harbor.mgts.ru/it/rnd/prototypes/ai-doc-fstec/ai-doc-fstec
it,it/lkb2o/frontend,harbor.mgts.ru/it/lkb2o/frontend
it,it/qwen-image-inference,harbor.mgts.ru/it/qwen-image-inference
it,it/lkb2o/backend,harbor.mgts.ru/it/lkb2o/backend
it,it/rnd/prototypes/ai-doc-diff/doc-compare-block,harbor.mgts.ru/it/rnd/prototypes/ai-doc-diff/doc-compare-block
it,it/rnd/infra/protolink/protolink-router,harbor.mgts.ru/it/rnd/infra/protolink/protolink-router
it,it/bs-site/adminpanel,harbor.mgts.ru/it/bs-site/adminpanel
it,it/bs-site/backoffice,harbor.mgts.ru/it/bs-site/backoffice
it,it/superapp/frontend/be,harbor.mgts.ru/it/superapp/frontend/be
it,it/superapp/miniapp-nginx,harbor.mgts.ru/it/superapp/miniapp-nginx
it,it/superapp/sms-service/db,harbor.mgts.ru/it/superapp/sms-service/db
it,it/superapp/sms-service/app,harbor.mgts.ru/it/superapp/sms-service/app
it,it/rnd/infra/ai-logs-stack/clickhouse,harbor.mgts.ru/it/rnd/infra/ai-logs-stack/clickhouse
it,it/rnd/infra/ai-logs-stack/grafana,harbor.mgts.ru/it/rnd/infra/ai-logs-stack/grafana
it,it/rnd/infra/ai-logs-stack/tabix,harbor.mgts.ru/it/rnd/infra/ai-logs-stack/tabix
it,it/rnd/infra/ai-logs-stack/nginx,harbor.mgts.ru/it/rnd/infra/ai-logs-stack/nginx
it,it/rnd/bsa/nda-portal/portal-db,harbor.mgts.ru/it/rnd/bsa/nda-portal/portal-db
it,it/rnd/bsa/nda-portal/portal-nginx,harbor.mgts.ru/it/rnd/bsa/nda-portal/portal-nginx
it,it/rnd/bsa/nda-portal/portal-backend,harbor.mgts.ru/it/rnd/bsa/nda-portal/portal-backend
it,it/rnd/ai/vanna/vanna-web,harbor.mgts.ru/it/rnd/ai/vanna/vanna-web
it,it/bs-site/site-back-nginx-02,harbor.mgts.ru/it/bs-site/site-back-nginx-02
it,it/bs-site/site-back-nginx-01,harbor.mgts.ru/it/bs-site/site-back-nginx-01
it,it/bs-site/site-back-01,harbor.mgts.ru/it/bs-site/site-back-01
it,it/bs-site/site-back,harbor.mgts.ru/it/bs-site/site-back
it,it/bs-site/site-back-nginx,harbor.mgts.ru/it/bs-site/site-back-nginx
it,it/bs-site/db,harbor.mgts.ru/it/bs-site/db
it,it/bs-site/site-front,harbor.mgts.ru/it/bs-site/site-front
k8s,k8s/csi-vsphere/syncer,harbor.mgts.ru/k8s/csi-vsphere/syncer
k8s,k8s/csi-vsphere/driver,harbor.mgts.ru/k8s/csi-vsphere/driver
k8s,k8s/cloud-pv-vsphere/cloud-provider-vsphere,harbor.mgts.ru/k8s/cloud-pv-vsphere/cloud-provider-vsphere
k8s-gcr,k8s-gcr/sig-storage/csi-snapshotter,harbor.mgts.ru/k8s-gcr/sig-storage/csi-snapshotter
k8s-gcr,k8s-gcr/sig-storage/csi-provisioner,harbor.mgts.ru/k8s-gcr/sig-storage/csi-provisioner
k8s-gcr,k8s-gcr/sig-storage/csi-resizer,harbor.mgts.ru/k8s-gcr/sig-storage/csi-resizer
k8s-gcr,k8s-gcr/sig-storage/csi-attacher,harbor.mgts.ru/k8s-gcr/sig-storage/csi-attacher
k8s-gcr,k8s-gcr/sig-storage/livenessprobe,harbor.mgts.ru/k8s-gcr/sig-storage/livenessprobe
k8s-gcr,k8s-gcr/sig-storage/csi-node-driver-registrar,harbor.mgts.ru/k8s-gcr/sig-storage/csi-node-driver-registrar
library,library/python,harbor.mgts.ru/library/python
lkb2o,lkb2o/selfservice/backend,harbor.mgts.ru/lkb2o/selfservice/backend
lkb2o,lkb2o/selfservice/frontend,harbor.mgts.ru/lkb2o/selfservice/frontend
lkb2o,lkb2o/newsadm1-frontend,harbor.mgts.ru/lkb2o/newsadm1-frontend
lkb2o,lkb2o/newsadm1-backend,harbor.mgts.ru/lkb2o/newsadm1-backend
lkb2o,lkb2o/prod/frontend,harbor.mgts.ru/lkb2o/prod/frontend
lkb2o,lkb2o/test/backend,harbor.mgts.ru/lkb2o/test/backend
lkb2o,lkb2o/test/frontend,harbor.mgts.ru/lkb2o/test/frontend
lkb2o,lkb2o/frontend/prod,harbor.mgts.ru/lkb2o/frontend/prod
lkb2o,lkb2o/prod/backend,harbor.mgts.ru/lkb2o/prod/backend
lkb2o,lkb2o/prod/sms-service,harbor.mgts.ru/lkb2o/prod/sms-service
mts,mts/dspp/refbook/application,harbor.mgts.ru/mts/dspp/refbook/application
nap,nap/frontend,harbor.mgts.ru/nap/frontend
nap,nap/backend,harbor.mgts.ru/nap/backend
qatools,qatools/testops/testops,harbor.mgts.ru/qatools/testops/testops
quay,quay/ceph/ceph,harbor.mgts.ru/quay/ceph/ceph
quay,quay/prometheuscommunity/postgres-exporter,harbor.mgts.ru/quay/prometheuscommunity/postgres-exporter
quay,quay/prometheus/haproxy-exporter,harbor.mgts.ru/quay/prometheus/haproxy-exporter
quay,quay/prometheus/blackbox-exporter,harbor.mgts.ru/quay/prometheus/blackbox-exporter
quay,quay/keycloak/keycloak,harbor.mgts.ru/quay/keycloak/keycloak
quay,quay/strimzi/operator,harbor.mgts.ru/quay/strimzi/operator
quay,quay/prometheus/node-exporter,harbor.mgts.ru/quay/prometheus/node-exporter
redosregistry,redosregistry/redos8c/ubi-minimal,harbor.mgts.ru/redosregistry/redos8c/ubi-minimal
redosregistry,redosregistry/redos8c/registry,harbor.mgts.ru/redosregistry/redos8c/registry
redosregistry,redosregistry/redos7c/ubi-minimal,harbor.mgts.ru/redosregistry/redos7c/ubi-minimal
redosregistry,redosregistry/redos7c/ubi,harbor.mgts.ru/redosregistry/redos7c/ubi
redosregistry,redosregistry/k8s7c/flannel-flanneld,harbor.mgts.ru/redosregistry/k8s7c/flannel-flanneld
redosregistry,redosregistry/k8s7c/flannel-cni-plugin-flannel,harbor.mgts.ru/redosregistry/k8s7c/flannel-cni-plugin-flannel
redosregistry,redosregistry/k8s7c/coredns,harbor.mgts.ru/redosregistry/k8s7c/coredns
redosregistry,redosregistry/k8s7c/etcd,harbor.mgts.ru/redosregistry/k8s7c/etcd
redosregistry,redosregistry/k8s7c/kube-scheduler,harbor.mgts.ru/redosregistry/k8s7c/kube-scheduler
redosregistry,redosregistry/k8s7c/kube-controller-manager,harbor.mgts.ru/redosregistry/k8s7c/kube-controller-manager
redosregistry,redosregistry/k8s7c/kube-proxy,harbor.mgts.ru/redosregistry/k8s7c/kube-proxy
redosregistry,redosregistry/k8s7c/kube-apiserver,harbor.mgts.ru/redosregistry/k8s7c/kube-apiserver
redosregistry,redosregistry/k8s7c/pause,harbor.mgts.ru/redosregistry/k8s7c/pause
spa,spa/ff-api-test,harbor.mgts.ru/spa/ff-api-test
spa,spa/gitlab-runner-helper,harbor.mgts.ru/spa/gitlab-runner-helper
spa,spa/gitlab-runner,harbor.mgts.ru/spa/gitlab-runner
vke,vke/barrier-service,harbor.mgts.ru/vke/barrier-service
vke,vke/barrier-web,harbor.mgts.ru/vke/barrier-web
vke,vke/wup,harbor.mgts.ru/vke/wup
yandex-browser,yandex-browser/polling,harbor.mgts.ru/yandex-browser/polling
yandex-browser,yandex-browser/ldap-sync,harbor.mgts.ru/yandex-browser/ldap-sync
yandex-browser,yandex-browser/iam,harbor.mgts.ru/yandex-browser/iam
yandex-browser,yandex-browser/audit,harbor.mgts.ru/yandex-browser/audit
yandex-browser,yandex-browser/private-api,harbor.mgts.ru/yandex-browser/private-api
yandex-browser,yandex-browser/licence,harbor.mgts.ru/yandex-browser/licence
yandex-browser,yandex-browser/public-api,harbor.mgts.ru/yandex-browser/public-api
yandex-browser,yandex-browser/admin-console,harbor.mgts.ru/yandex-browser/admin-console
